Place_Name,Place_Id,City,Price,Place_Ratings
Monumen Nasional,1,Jakarta,20000,3.7222222222222223
Kota Tua,2,Jakarta,0,2.84
Dunia Fantasi,3,Jakarta,270000,2.526315789473684
Taman Mini Indonesia Indah (TMII),4,Jakarta,10000,2.857142857142857
Atlantis Water Adventure,5,Jakarta,94000,3.52
Taman Impian Jaya Ancol,6,Jakarta,25000,2.9583333333333335
Kebun Binatang Ragunan,7,Jakarta,4000,2.9545454545454546
Ocean Ecopark,8,Jakarta,180000,3.1333333333333333
Pelabuhan Marina,9,Jakarta,175000,2.5789473684210527
Pulau Tidung,10,Jakarta,150000,2.7142857142857144
Pulau Bidadari,11,Jakarta,5000,2.5833333333333335
Pulau Pari,12,Jakarta,150000,2.8
Pulau Pramuka,13,Jakarta,5000,2.68
Pulau Pelangi,14,Jakarta,900000,3.4444444444444446
Pasar Seni,15,Jakarta,0,2.68
Jembatan Kota Intan,16,Jakarta,0,3.0952380952380953
Museum Fatahillah,17,Jakarta,5000,3.0714285714285716
Museum Bank Indonesia,18,Jakarta,2000,3.4285714285714284
Kidzania,19,Jakarta,185000,2.5238095238095237
Museum Taman Prasasti,20,Jakarta,2000,3.0
Museum Wayang,21,Jakarta,5000,3.24
Masjid Istiqlal,22,Jakarta,0,2.9047619047619047
Gereja Katedral,23,Jakarta,0,2.6956521739130435
Museum Nasional,24,Jakarta,5000,3.24
Pasar Tanah Abang,25,Jakarta,0,2.269230769230769
Pecinan Glodok,26,Jakarta,0,2.7083333333333335
Sea World,27,Jakarta,115000,3.2916666666666665
Wisata Agro Edukatif Istana Susu Cibugary,28,Jakarta,35000,3.611111111111111
Wisata Kuliner Pecenongan,29,Jakarta,0,2.6363636363636362
Taman Menteng,30,Jakarta,0,3.1818181818181817
Wisata Alam Mangrove Angke,31,Jakarta,25000,3.375
Setu Babakan,32,Jakarta,0,3.4
Taman Suropati,33,Jakarta,0,2.9615384615384617
Pasar Taman Puring,34,Jakarta,0,3.1739130434782608
Grand Indonesia Mall,35,Jakarta,0,3.0
Skyrink - Mall Taman Anggrek,36,Jakarta,110000,3.310344827586207
Bumi Perkemahan Cibubur,37,Jakarta,10000,3.3703703703703702
Istana Negara Republik Indonesia,38,Jakarta,0,3.1153846153846154
Museum Macan (Modern and Contemporary Art in Nusantara),39,Jakarta,100000,3.269230769230769
Galeri Nasional Indonesia,40,Jakarta,0,3.238095238095238
Museum Bahari Jakarta,41,Jakarta,2000,3.111111111111111
Museum Seni Rupa dan Kramik,42,Jakarta,5000,2.6296296296296298
The Escape Hunt,43,Jakarta,70000,2.6333333333333333
Monumen Selamat Datang,44,Jakarta,0,3.6315789473684212
Jakarta Aquarium dan Safari,45,Jakarta,185000,2.7142857142857144
Pulau Semak Daun,46,Jakarta,40000,2.782608695652174
Taman Situ Lembang,47,Jakarta,0,2.9655172413793105
Taman Ismail Marzuki,48,Jakarta,5000,2.6
Galeri Indonesia Kaya,49,Jakarta,0,3.076923076923077
Museum Joang 45,50,Jakarta,2000,2.869565217391304
Jakarta Planetarium,51,Jakarta,12000,3.25
Kampung Cina,52,Jakarta,15000,3.8421052631578947
Rumah Sipitung,53,Jakarta,5000,3.4
Taman Agrowisata Cilangkap,54,Jakarta,0,2.962962962962963
Klenteng Jin De Yuan,55,Jakarta,0,3.0
Pantai Ancol,56,Jakarta,25000,3.033333333333333
Taman Lapangan Banteng,57,Jakarta,0,3.0
Taman Ayodya,58,Jakarta,0,2.9375
Museum Sumpah Pemuda,59,Jakarta,2000,2.857142857142857
Museum Tekstil,60,Jakarta,5000,3.5294117647058822
Tugu Proklamasi,61,Jakarta,0,3.076923076923077
Taman Legenda Keong Emas,62,Jakarta,30000,2.772727272727273
Museum Kebangkitan Nasional,63,Jakarta,2000,3.1578947368421053
Museum Sasmita Loka Ahmad Yani,64,Jakarta,2000,2.6666666666666665
Museum Basoeki Abdullah,65,Jakarta,1000,2.8947368421052633
Museum Layang-layang,66,Jakarta,10000,2.7142857142857144
Margasatwa Muara Angke,67,Jakarta,25000,3.4210526315789473
Pasar Petak Sembilan,68,Jakarta,0,3.1538461538461537
Freedom Library,69,Jakarta,0,3.32
Perpustakaan Nasional,70,Jakarta,0,3.1739130434782608
Cibubur Garden Diary (Cibugary),71,Jakarta,50000,2.9473684210526314
Waterboom PIK (Pantai Indah Kapuk),72,Jakarta,300000,3.076923076923077
Museum Perangko,73,Jakarta,5000,2.238095238095238
Museum Tengah Kebun,74,Jakarta,0,2.8461538461538463
SnowBay Waterpark,75,Jakarta,180000,2.75
Taman Cattleya,76,Jakarta,20000,2.814814814814815
Taman Hutan Tebet,77,Jakarta,0,2.6666666666666665
Hutan Kota Srengseng,78,Jakarta,1000,3.033333333333333
Taman Spathodea,79,Jakarta,0,3.4782608695652173
Plaza Indonesia,80,Jakarta,0,3.3846153846153846
Mall Thamrin City,81,Jakarta,0,2.6956521739130435
Museum Satria Mandala,82,Jakarta,5000,3.0
